headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
metric,noun,B2,business,word,,,ölçüt; performans göstergesi,a standard for measuring performance,Revenue is the key metric here.,Burada temel ölçüt gelirdir.,measure|indicator,,success metric,
pipeline,noun,C1,business,word,,,satış hattı; ilerleyen iş akışı,a series of upcoming deals or steps,The sales pipeline looks strong.,Satış hattı güçlü görünüyor.,,,sales pipeline,
backlog,noun,B2,business,word,,,birikmiş iş; bekleyen görevler yığını,a buildup of unfinished work,They cleared the support backlog.,Bekleyen destek işlerini bitirdiler.,buildup|queue,,product backlog,
bottleneck,noun,C1,business,word,,,darboğaz; süreci yavaşlatan tıkanma noktası,a point that slows a whole process,Approval is the main bottleneck.,Onay süreci ana darboğaz.,blockage|constraint,,supply bottleneck,
accountability,noun,C1,business|communication,word,account,,hesap verebilirlik; sorumluluğu üstlenme,being responsible for one's actions,Leaders must accept accountability.,Liderler hesap verebilirliği kabul etmeli.,responsibility,,clear accountability,
transparency,noun,B2,business|communication,word,,,şeffaflık; açıklık ve dürüstlük,openness and honesty in dealings,Customers value transparency.,Müşteriler şeffaflığa değer verir.,openness|clarity,secrecy,financial transparency,
integrity,noun,B2,communication|business,word,,,dürüstlük; sağlam ahlaki ilkeler,strong honesty and moral principles,She acted with great integrity.,Büyük bir dürüstlükle davrandı.,honesty|honor,dishonesty,personal integrity,
credibility,noun,C1,communication|business,word,,,güvenilirlik; inandırıcılık,the quality of being trusted,The scandal hurt his credibility.,Skandal güvenilirliğine zarar verdi.,trustworthiness,,build credibility,
reputation management,noun,C1,business|communication,phrase,,,itibar yönetimi; imajı koruma çabası,the effort to protect public image,Reputation management is vital online.,İtibar yönetimi internette hayatidir.,,,,
punctual,adj,B1,communication|business,word,,,dakik; zamanında gelen,arriving or done on time,He is always punctual for meetings.,Toplantılara her zaman dakiktir.,on time|prompt,late,punctual arrival,
approachable,adj,B2,communication,word,approach,,ulaşılabilir; kolayca konuşulabilen,friendly and easy to talk to,A good boss is approachable.,İyi bir patron ulaşılabilirdir.,friendly|accessible,aloof,approachable manner,
charismatic,adj,C1,communication,word,,,karizmatik; etkileyici ve çekici,having strong personal charm,The charismatic leader inspired many.,Karizmatik lider birçok kişiye ilham verdi.,magnetic|charming,dull,charismatic speaker,
humble,adj,B2,communication,word,,,alçakgönüllü; gösterişsiz,modest and not arrogant,She stayed humble after success.,Başarıdan sonra alçakgönüllü kaldı.,modest|unassuming,arrogant,humble attitude,
arrogant,adj,B2,communication,word,,,kibirli; kendini üstün gören,proud in an unpleasant way,His arrogant tone annoyed clients.,Kibirli tonu müşterileri rahatsız etti.,conceited|haughty,humble,arrogant behavior,humble
sincere,adj,B2,communication,word,,,içten; gerçek ve samimi,genuine and honest in feeling,She gave a sincere apology.,İçten bir özür diledi.,genuine|heartfelt,insincere,sincere thanks,
genuine,adj,B2,communication,word,,,gerçek; sahte olmayan,real and authentic,His concern was genuine.,Endişesi gerçekti.,authentic|real,fake,genuine interest,
trustworthy,adj,B2,communication|business,word,trust,,güvenilir; güven duyulabilen,able to be relied on,She is a trustworthy partner.,Güvenilir bir ortaktır.,reliable|dependable,untrustworthy,trustworthy source,
loyal,adj,B1,communication|business,word,,,sadık; bağlılık gösteren,faithful and supportive,Loyal customers return often.,Sadık müşteriler sık sık döner.,faithful|devoted,disloyal,loyal employee,
considerate,adj,B2,communication,word,consider,,düşünceli; başkasını gözeten,thoughtful of others' feelings,He is considerate of his teammates.,Takım arkadaşlarını gözeten biri.,thoughtful|caring,inconsiderate,considerate gesture,
supportive,adj,B1,communication,word,support,,destekleyici; yardımcı olan,giving help and encouragement,Her boss was very supportive.,Patronu çok destekleyiciydi.,encouraging|helpful,unsupportive,supportive environment,
encourage,verb,A2,communication,word,courage,,cesaretlendirmek; teşvik etmek,to give support and confidence,Mentors encourage new staff.,Mentorlar yeni çalışanları cesaretlendirir.,motivate|inspire,discourage,encourage growth,
inspire,verb,B1,communication,word,,,ilham vermek; harekete geçirmek,to fill someone with motivation,Her story inspired the team.,Hikâyesi ekibe ilham verdi.,motivate|stir,demotivate,inspire confidence,
collaborate,verb,B2,communication|business,word,,,iş birliği yapmak; birlikte çalışmak,to work together on a task,Departments collaborate on launches.,Departmanlar lansmanlarda iş birliği yapar.,cooperate|team up,compete,collaborate closely,
cooperate,verb,B1,communication,word,,,işbirliği yapmak; uyum içinde çalışmak,to act together for a common goal,Both sides agreed to cooperate.,İki taraf da işbirliğine razı oldu.,collaborate|coordinate,obstruct,cooperate fully,
coordinate,verb,B2,business|communication,word,,,koordine etmek; uyumlu hale getirmek,to organize people or tasks together,She coordinates the whole event.,Tüm etkinliği o koordine ediyor.,organize|arrange,,coordinate efforts,
delegate,noun,B2,communication|business,word,,,delege; temsilci,a person sent to represent others,Each office sent a delegate.,Her ofis bir delege gönderdi.,representative|envoy,,conference delegate,
counterpart,noun,C1,business|communication,word,,,muadil; karşı taraftaki eşdeğer kişi,a person with an equivalent role,She met her German counterpart.,Alman muadiliyle görüştü.,equivalent|peer,,foreign counterpart,
peer,noun,B2,communication,word,,,akran; eşit konumdaki kişi,a person of equal standing,He earned respect from his peers.,Akranlarının saygısını kazandı.,equal|colleague,,peer review,
acquaintance,noun,B2,communication,word,,,tanıdık; yüzeysel tanınan kişi,a person one knows slightly,He is just a business acquaintance.,Sadece bir iş tanıdığı.,contact,stranger,casual acquaintance,
etiquette,noun,C1,communication,word,,,görgü kuralları; nezaket kuralları,the rules of polite behavior,Business etiquette varies by country.,İş görgü kuralları ülkeye göre değişir.,manners|protocol,,proper etiquette,
hospitality,noun,B2,communication|business,word,,,misafirperverlik; konuk ağırlama,friendly and generous treatment of guests,Their hospitality impressed us.,Misafirperverlikleri bizi etkiledi.,warmth|welcome,,warm hospitality,
gratitude,noun,B2,communication,word,,,minnettarlık; teşekkür duygusu,a feeling of thankfulness,She expressed her gratitude warmly.,Minnettarlığını içtenlikle dile getirdi.,thankfulness,ingratitude,deep gratitude,
apologize,verb,A2,communication,word,,,özür dilemek; pişmanlık belirtmek,to say sorry for a fault,He apologized for the delay.,Gecikme için özür diledi.,say sorry,,apologize sincerely,
announce,verb,A2,communication,word,,,duyurmak; resmen bildirmek,to make something publicly known,They announced the merger today.,Birleşmeyi bugün duyurdular.,declare|reveal,conceal,announce results,
disclose,verb,C1,communication|business,word,close,,açıklamak; gizli bilgiyi ifşa etmek,to make secret information known,They disclosed the figures to investors.,Rakamları yatırımcılara açıkladılar.,reveal|divulge,conceal,disclose details,
confidential,adj,B2,communication|business,word,,,gizli; sadece yetkililere açık,meant to be kept secret,The report is strictly confidential.,Rapor kesinlikle gizlidir.,private|classified,public,confidential information,
publicize,verb,C1,communication|business,word,public,,kamuoyuna duyurmak; tanıtmak,to make widely known,They publicized the new service.,Yeni hizmeti kamuoyuna duyurdular.,advertise|promote,suppress,publicize an event,
broadcast,verb,B1,communication,word,,,yayınlamak; geniş kitleye iletmek,to send out to a wide audience,The speech was broadcast live.,Konuşma canlı yayınlandı.,air|transmit,,broadcast news,
rhetoric,noun,C2,communication,word,,,retorik; etkili konuşma sanatı,the art of persuasive speaking,His rhetoric stirred the crowd.,Retoriği kalabalığı coşturdu.,oratory|eloquence,,political rhetoric,
debate,noun,B1,communication,word,,,tartışma; karşıt görüşlerin sunumu,a formal discussion of opposing views,The debate lasted two hours.,Tartışma iki saat sürdü.,discussion|argument,,heated debate,
dialogue,noun,B2,communication,word,,,diyalog; karşılıklı konuşma,a conversation between sides,They opened a dialogue with critics.,Eleştirmenlerle bir diyalog başlattılar.,conversation|talks,monologue,constructive dialogue,
discourse,noun,C2,communication,word,,,söylem; bir konudaki kapsamlı konuşma,formal discussion of a topic,Public discourse shifted online.,Kamusal söylem internete kaydı.,discussion|debate,,public discourse,
macroeconomics,noun,C1,economics,word,,,makroekonomi; ekonominin geneliyle ilgili dal,the study of the economy as a whole,Macroeconomics looks at inflation and growth.,Makroekonomi enflasyon ve büyümeye bakar.,,microeconomics,,microeconomics
microeconomics,noun,C1,economics,word,,,mikroekonomi; bireysel piyasalarla ilgili dal,the study of individual markets and firms,Microeconomics studies single markets.,Mikroekonomi tek tek piyasaları inceler.,,macroeconomics,,macroeconomics
solvency,noun,C2,economics|business,word,,,ödeme gücü; borçları karşılayabilme,the ability to pay all debts,The bank proved its solvency.,Banka ödeme gücünü kanıtladı.,,insolvency,maintain solvency,
credit,noun,B1,economics|business,word,,,kredi; sonradan ödeme imkânı,the ability to borrow or buy now and pay later,They bought the equipment on credit.,Ekipmanı kredili aldılar.,loan|financing,debit,credit limit,
debit,noun,B1,economics|business,word,,,borç kaydı; hesaptan düşülen tutar,an amount taken from an account,The fee appeared as a debit.,Ücret bir borç kaydı olarak göründü.,,credit,direct debit,
amortization,noun,C2,economics|business,word,,,itfa; borcun zamanla taksitle ödenmesi,gradual repayment of a debt over time,The loan has a ten-year amortization.,Kredinin on yıllık itfa süresi var.,,,amortization schedule,
disclosure,noun,C1,business|communication,word,,,ifşa; bilgilerin açıklanması,the act of making information known,Full disclosure builds investor trust.,Tam ifşa yatırımcı güveni inşa eder.,revelation,concealment,financial disclosure,
incentivize,verb,C1,business|economics,word,,,teşvik etmek; özendirici sunmak,to motivate with a reward,Bonuses incentivize performance.,Primler performansı teşvik eder.,motivate|encourage,,incentivize sales,
outperform,verb,C1,business|economics,word,perform,,daha iyi performans göstermek; geride bırakmak,to do better than others,The fund outperformed the market.,Fon piyasanın üzerinde performans gösterdi.,surpass|beat,lag,outperform rivals,
underperform,verb,C1,business|economics,word,perform,,düşük performans göstermek; beklentinin altında kalmak,to do worse than expected,The stock underperformed all year.,Hisse tüm yıl beklentinin altında kaldı.,lag|trail,outperform,underperform the index,outperform
overhead ratio,noun,C2,business|economics,phrase,,,gider oranı; giderin gelire oranı,the ratio of operating costs to income,A low overhead ratio signals efficiency.,Düşük gider oranı verimliliğe işarettir.,,,,
profit margin,noun,B2,business|economics,phrase,,,kâr marjı; satıştaki kâr oranı,profit as a percentage of revenue,Their profit margin improved sharply.,Kâr marjları keskin biçimde arttı.,,,net profit margin,
market share,noun,B2,business|economics,phrase,,,pazar payı; toplam satıştaki oran,a company's portion of total sales,They gained market share last year.,Geçen yıl pazar payı kazandılar.,,,grow market share,
target market,noun,B2,business|communication,phrase,,,hedef pazar; ulaşılmak istenen müşteri grubu,the group of customers aimed at,Teens are their target market.,Gençler hedef pazarlarıdır.,,,define a target market,
value proposition,noun,C1,business|communication,phrase,value,,değer önerisi; müşteriye sunulan fayda vaadi,the promised benefit to a customer,A clear value proposition wins sales.,Net bir değer önerisi satış kazandırır.,,,strong value proposition,
competitive advantage,noun,C1,business|economics,phrase,,,rekabet avantajı; rakiplere üstünlük,an edge that beats competitors,Speed is their competitive advantage.,Hız onların rekabet avantajıdır.,edge,,sustainable competitive advantage,
economies of scale,noun,C1,economics|business,phrase,,,ölçek ekonomileri; büyüdükçe düşen birim maliyet,cost savings from larger production,Big factories enjoy economies of scale.,Büyük fabrikalar ölçek ekonomilerinden yararlanır.,,,,
return on investment,noun,B2,business|economics,phrase,,,yatırım getirisi; yatırımın kazanç oranı,profit relative to the amount invested,The campaign had a high return on investment.,Kampanyanın yatırım getirisi yüksekti.,ROI,,strong return on investment,
break-even point,noun,C1,business|economics,phrase,,,başabaş noktası; kâr ile zararın eşitlendiği an,the point where costs equal revenue,They reached the break-even point fast.,Başabaş noktasına hızla ulaştılar.,,,,
due diligence,noun,C1,business|economics,phrase,,,durum tespiti; satın alma öncesi inceleme,careful research before a deal,They ran due diligence on the target.,Hedef şirket üzerinde durum tespiti yaptılar.,,,perform due diligence,
cash cow,idiom,C1,business|economics,idiom,cow,,nakit ineği; sürekli kâr getiren iş,a steady source of profit,The old brand is a cash cow.,Eski marka bir nakit ineğidir.,,,,
loss leader,noun,C2,business|economics,phrase,,,zarar lideri; müşteri çekmek için zararına satılan ürün,a product sold cheap to attract buyers,Milk is often a loss leader.,Süt çoğu zaman bir zarar liderdir.,,,,
overpromise,verb,C1,business|communication,word,promise,,fazla vaatte bulunmak; tutulamayacak söz vermek,to promise more than can be delivered,Never overpromise to a client.,Bir müşteriye asla fazla vaatte bulunma.,,underdeliver,,
underdeliver,verb,C1,business|communication,word,deliver,,sözünü tutamamak; vaadin altında kalmak,to provide less than promised,They overpromised and underdelivered.,Fazla vaat edip altında kaldılar.,,overdeliver,,overpromise
benchmark against,verb,C1,business,phrase,,,kıyaslamak; bir standarda göre ölçmek,to compare against a standard,We benchmark against top firms.,En iyi firmalara göre kıyaslama yaparız.,compare,,,
escalate,verb,C1,business|communication,word,,,üst makama taşımak; sorunu yükseltmek,to refer an issue to a higher level,Please escalate this to support.,Lütfen bunu desteğe iletin.,refer|raise,de-escalate,escalate an issue,
de-escalate,verb,C1,communication,word,,,gerginliği azaltmak; yatıştırmak,to make a situation calmer,She de-escalated the argument.,Tartışmayı yatıştırdı.,calm|defuse,escalate,de-escalate tension,escalate
follow through,idiom,B2,business|communication,idiom,follow,,sözünü tutmak; başlananı sonuna kadar götürmek,to complete what was started,He always follows through on promises.,Verdiği sözleri her zaman tutar.,deliver|complete,abandon,follow through on,
take ownership,idiom,C1,business|communication,phrase,own,,sahiplenmek; sorumluluğu üstlenmek,to accept full responsibility,Great staff take ownership of mistakes.,İyi çalışanlar hatalarını sahiplenir.,,,take ownership of,
hands-on,adj,B2,business|communication,word,hand,,uygulamalı; bizzat içinde olan,involving direct practical involvement,She prefers a hands-on approach.,Uygulamalı bir yaklaşımı tercih eder.,practical|active,hands-off,hands-on experience,
hands-off,adj,C1,business|communication,word,hand,,müdahalesiz; karışmayan,not involved in the details,He has a hands-off management style.,Müdahalesiz bir yönetim tarzı var.,,hands-on,hands-off approach,hands-on
big picture,idiom,B2,business|communication,idiom,,,büyük resim; genel görünüm,the overall situation beyond details,Don't lose sight of the big picture.,Büyük resmi gözden kaçırma.,overview,,see the big picture,
long-term,adj,B1,business|economics,word,term,,uzun vadeli; uzun bir döneme yayılan,extending far into the future,They focus on long-term growth.,Uzun vadeli büyümeye odaklanırlar.,,short-term,long-term plan,short-term
short-term,adj,B1,business|economics,word,term,,kısa vadeli; yakın geleceğe dönük,lasting only a short time,Short-term gains can be misleading.,Kısa vadeli kazançlar yanıltıcı olabilir.,,long-term,short-term goal,long-term
overarching,adj,C2,business|communication,word,,,kapsayıcı; her şeyi içine alan ana,covering or including everything,Quality is the overarching goal.,Kalite kapsayıcı ana hedeftir.,overall|paramount,,overarching theme,
underlying,adj,C1,business|economics|communication,word,lie,,altta yatan; temeldeki esas,present beneath the surface as a cause,We found the underlying cause.,Altta yatan nedeni bulduk.,fundamental|root,,underlying issue,
tangible,adj,C1,business|economics,word,,,somut; elle tutulur ve gerçek,real and able to be measured,The plan brought tangible results.,Plan somut sonuçlar getirdi.,concrete|real,intangible,tangible benefit,
intangible,adj,C1,business|economics,word,,,soyut; elle tutulamayan,not physical and hard to measure,Brand value is an intangible asset.,Marka değeri soyut bir varlıktır.,abstract,tangible,intangible asset,tangible
feasibility,noun,C1,business,word,,,uygulanabilirlik; yapılabilirlik durumu,how possible something is to do,They studied the project's feasibility.,Projenin uygulanabilirliğini incelediler.,viability,,feasibility study,
contingency,noun,C1,business|communication,word,,,olasılık planı; beklenmedik duruma karşı önlem,a plan for unexpected events,Keep a contingency for delays.,Gecikmelere karşı bir olasılık planı tut.,backup|fallback,,contingency plan,
mitigate,verb,C1,business|economics,word,,,hafifletmek; riski azaltmak,to make something less severe,Insurance helps mitigate risk.,Sigorta riski hafifletmeye yardımcı olur.,reduce|lessen,aggravate,mitigate risk,
aggregate,verb,C2,economics|business,word,,,toplamak; tek bir bütünde birleştirmek,to combine into a total,The site aggregates price data.,Site fiyat verilerini toplar.,combine|total,,aggregate demand,
projection,noun,B2,business|economics,word,project,,projeksiyon; geleceğe dönük tahmin,an estimate of future figures,Their revenue projection was accurate.,Gelir projeksiyonları isabetliydi.,forecast|estimate,,financial projection,
overstate,verb,C1,communication|business,word,state,,abartmak; olduğundan büyük göstermek,to describe as greater than reality,He overstated the savings.,Tasarrufu abarttı.,exaggerate,understate,overstate the case,understate
understate,verb,C1,communication|business,word,state,,olduğundan küçük göstermek; eksik ifade etmek,to describe as smaller than reality,She understated the risks.,Riskleri olduğundan küçük gösterdi.,downplay,overstate,understate the problem,overstate
leverage point,noun,C2,business,phrase,lever,,kaldıraç noktası; küçük çabayla büyük etki yeri,a place where small effort yields big change,Pricing is a key leverage point.,Fiyatlama önemli bir kaldıraç noktasıdır.,,,,
value chain,noun,C1,business|economics,phrase,value,,değer zinciri; ürün değerinin oluştuğu aşamalar,the steps that add value to a product,They optimized the whole value chain.,Tüm değer zincirini optimize ettiler.,,,,
stakeholder buy-in,noun,C1,business|communication,phrase,stake,,paydaş desteği; ilgili tarafların onayı,support from involved parties,The plan needs stakeholder buy-in.,Plan paydaş desteği gerektiriyor.,,,,
proactive communication,noun,C1,communication,phrase,,,proaktif iletişim; sorun çıkmadan bilgilendirme,informing others before problems arise,Proactive communication builds trust.,Proaktif iletişim güven inşa eder.,,,,
work-life balance,noun,B2,communication|business,phrase,,,iş-yaşam dengesi; iş ve özel hayat uyumu,a healthy split between work and personal life,Remote work improved their work-life balance.,Uzaktan çalışma iş-yaşam dengelerini iyileştirdi.,,,,
networking,noun,B2,communication|business,word,net,,çevre edinme; profesyonel ilişki kurma,building professional relationships,Networking opened new doors for her.,Çevre edinmek ona yeni kapılar açtı.,,,networking event,
mindset,noun,B2,communication|business,word,,,zihniyet; düşünce ve tutum biçimi,an established set of attitudes,A growth mindset drives learning.,Gelişim zihniyeti öğrenmeyi besler.,attitude|outlook,,growth mindset,
