headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
binge,noun,B2,communication|general,word,,,aşırıya kaçma; tıkınma/maraton,a short period of excessive activity,a Netflix binge|a shopping binge,Bir Netflix maratonu|bir alışveriş çılgınlığı,spree,,,
streaming,noun,B1,communication|general,word,stream,,çevrim içi yayın; akış,watching or listening online in real time,Most people use streaming now.,Çoğu insan artık çevrim içi yayın kullanıyor.,,,streaming service,
headline,noun,B1,communication|general,word,head,,manşet; haber başlığı,the title of a news story,The scandal made every headline.,Skandal bütün manşetlere çıktı.,title,,make headlines,
breaking news,noun,B1,communication|general,phrase,break,,son dakika haberi,important news reported as it happens,Breaking news interrupted the show.,Son dakika haberi programı böldü.,,,,
clickbait,noun,B2,communication|general,word,click,,tık tuzağı; merak uyandıran aldatıcı başlık,a misleading title made to get clicks,The article was pure clickbait.,Yazı tam bir tık tuzağıydı.,,,,
viral,adj,B1,communication|general,word,virus,,viral; internette hızla yayılan,spreading quickly online,Her video went viral overnight.,Videosu bir gecede viral oldu.,trending,,go viral,
trending,adj,B1,communication|general,word,trend,,gündemde; o an popüler,currently popular online,That song is trending right now.,O şarkı şu an gündemde.,popular|hot,,,
influencer,noun,B2,communication|business,word,influence,,fenomen; sosyal medya etkileyicisi,a person who shapes opinions online,The brand hired a popular influencer.,Marka popüler bir fenomenle anlaştı.,content creator,,,
tabloid,noun,B2,communication|general,word,,,bulvar gazetesi; magazin basını,a sensational popular newspaper,The story first ran in a tabloid.,Haber ilk bir bulvar gazetesinde çıktı.,gossip press,broadsheet,,
scoop,noun,C1,communication|general,word,,,atlatma haber; ilk yakalanan özel haber,an exclusive news story,The reporter got a major scoop.,Muhabir büyük bir atlatma haber yakaladı.,exclusive,,,
soundbite,noun,C1,communication|general,word,sound,,çarpıcı kısa alıntı; akılda kalan cümle,a short striking quote,The speech was reduced to a soundbite.,Konuşma çarpıcı bir cümleye indirgendi.,,,,
coverage,noun,B2,communication|general,word,cover,,haber kapsamı; bir konunun işlenmesi,the reporting of an event,The election got heavy coverage.,Seçim yoğun şekilde haber oldu.,reporting,,media coverage,
blockbuster,noun,B2,communication|general,word,,,gişe rekortmeni; çok tutan film,a very successful film,The blockbuster broke box-office records.,Gişe rekortmeni film hasılat rekorları kırdı.,hit,flop,,
box office,noun,B2,communication|business,phrase,box,,gişe; film hasılatı,money earned from ticket sales,The film topped the box office.,Film gişede zirveye çıktı.,,,box-office hit,
trailer,noun,B1,communication|general,word,trail,,fragman; tanıtım videosu,a short preview of a film,The trailer looks amazing.,Fragman harika görünüyor.,preview,,,
sequel,noun,B2,communication|general,word,,,devam filmi; süren yapım,a film that continues a story,The sequel was better than the original.,Devam filmi ilkinden iyiydi.,follow-up,prequel,,prequel
prequel,noun,C1,communication|general,word,,,öncül film; öncesini anlatan yapım,a film about events before the original,The prequel explains his origin.,Öncül film onun başlangıcını anlatır.,,sequel,,sequel
cameo,noun,C1,communication|general,word,,,kısa konuk rol,a brief appearance by a famous person,The director made a cameo.,Yönetmen kısa bir konuk rolde göründü.,,,,
protagonist,noun,C1,communication|general,word,,,baş kahraman; ana karakter,the main character of a story,The protagonist faces a hard choice.,Baş kahraman zor bir seçimle yüzleşir.,hero|lead,antagonist,,antagonist
antagonist,noun,C1,communication|general,word,,,karşıt karakter; kötü adam,the main opponent in a story,The antagonist drives the conflict.,Karşıt karakter çatışmayı körükler.,villain,protagonist,,protagonist
subtitle,noun,B1,communication|general,word,title,,altyazı,translated text at the bottom of the screen,I watch films with English subtitles.,Filmleri İngilizce altyazıyla izlerim.,caption,,,
dub,verb,B2,communication|general,word,,,dublaj yapmak; seslendirmek,to replace the original voices in another language,The series was dubbed into Turkish.,Dizi Türkçeye dublajlandı.,voice over,,,
figure out,verb,B1,communication|general,idiom,figure,,çözmek; anlamak,to understand or solve something,I can't figure out this problem.,Bu problemi çözemiyorum.,work out|solve,,,
work out,verb,B1,communication|general,idiom,work,,çözmek; iyi sonuçlanmak,to solve or to end well,Don't worry it'll work out.,Merak etme yoluna girer.,turn out,,,
give up,verb,A2,communication|general,idiom,give,,vazgeçmek; pes etmek,to stop trying,Never give up on your goals.,Hedeflerinden asla vazgeçme.,quit,persevere,,
run into,verb,B1,communication|general,idiom,run,,tesadüfen karşılaşmak,to meet by chance,I ran into an old friend today.,Bugün eski bir arkadaşa rastladım.,bump into,,,
look forward to,verb,B1,communication|general,idiom,look,,dört gözle beklemek,to feel excited about a future event,I look forward to the weekend.,Hafta sonunu dört gözle bekliyorum.,anticipate,dread,,
put off,verb,B1,communication|business,idiom,put,,ertelemek,to postpone something,They put off the meeting until Friday.,Toplantıyı cumaya ertelediler.,postpone|delay,,,
come across,verb,B2,communication|general,idiom,come,,rastlamak; izlenim bırakmak,to find by chance or to seem,I came across an old letter.,Eski bir mektuba rastladım.,stumble upon,,,
get along,verb,B1,communication|general,idiom,get,,iyi geçinmek,to have a friendly relationship,The team gets along well.,Ekip iyi geçiniyor.,click,clash,,
turn down,verb,B1,communication|business,idiom,turn,,reddetmek; geri çevirmek,to refuse an offer,She turned down the job.,İşi geri çevirdi.,reject|decline,accept,,
bring up,verb,B2,communication|general,idiom,bring,,konuyu açmak; gündeme getirmek,to mention a topic,Don't bring up politics at dinner.,Yemekte siyaset konusunu açma.,raise|mention,,,
show up,verb,B1,communication|general,idiom,show,,çıkagelmek; gelmek,to arrive or appear,He showed up an hour late.,Bir saat geç geldi.,turn up,,,
hang out,verb,B1,communication|general,idiom,hang,,takılmak; vakit geçirmek,to spend time relaxing with others,We hung out at the mall.,Alışveriş merkezinde takıldık.,chill,,,
chill out,verb,B1,communication|general,idiom,chill,,sakinleşmek; rahatlamak,to relax and calm down,Just chill out it's fine.,Sakin ol her şey yolunda.,relax,stress out,,
freak out,verb,B2,communication|general,idiom,freak,,çıldırmak; paniğe kapılmak,to react with strong fear or anger,She freaked out over the deadline.,Teslim tarihi yüzünden paniğe kapıldı.,panic,stay calm,,
mess up,verb,B1,communication|general,idiom,mess,,batırmak; eline yüzüne bulaştırmak,to do something badly,I messed up the interview.,Mülakatı batırdım.,botch|blow it,nail it,,
catch up,verb,B1,communication|general,idiom,catch,,yetişmek; hasret gidermek,to reach the same level or share news,Let's catch up over coffee.,Bir kahve eşliğinde hasret giderelim.,,fall behind,,
end up,verb,B1,communication|general,idiom,end,,sonunda olmak; bir yerde son bulmak,to reach a final situation,We ended up staying home.,Sonunda evde kaldık.,,,,
run out,verb,A2,communication|general,idiom,run,,tükenmek; bitmek,to have no more of something,We ran out of milk.,Sütümüz bitti.,,,run out of,
sort out,verb,B2,communication|business,idiom,sort,,halletmek; düzene koymak,to resolve or organize,I'll sort out the schedule.,Programı ben hallederim.,resolve,,,
broke,adj,B1,communication|general,slang,break,,meteliksiz; parasız,having no money,I'm broke until payday.,Maaş gününe kadar meteliksizim.,penniless,loaded,,
loaded,adj,B2,communication|general,slang,load,,paralı; çok zengin,very rich,Their family is loaded.,Aileleri çok paralı.,wealthy,broke,,broke
hangover,noun,B2,communication|general,word,,,akşamdan kalmalık,the sick feeling after drinking too much,He had a terrible hangover.,Berbat bir akşamdan kalmalığı vardı.,,,,
awesome,adj,A2,communication|general,word,,,harika; müthiş,extremely good,The concert was awesome.,Konser harikaydı.,amazing|great,awful,,
awkward,adj,B1,communication|general,word,,,garip; utandırıcı/beceriksiz,causing embarrassment or not graceful,There was an awkward silence.,Garip bir sessizlik oldu.,clumsy|uneasy,smooth,,
cheesy,adj,B2,communication|general,slang,cheese,,bayağı; basmakalıp duygusal,too sentimental or corny,The movie's ending was cheesy.,Filmin sonu fazla bayağıydı.,corny,,,
creepy,adj,B1,communication|general,word,creep,,ürkütücü; tüyler ürpertici,causing an uneasy fear,That old house is creepy.,O eski ev ürkütücü.,eerie,,,
fancy,adj,B1,communication|general,word,,,şık; lüks,expensive and stylish,We went to a fancy restaurant.,Şık bir restorana gittik.,posh|upscale,plain,,
weird,adj,A2,communication|general,word,,,tuhaf; acayip,strange or unusual,That's a weird coincidence.,Bu tuhaf bir tesadüf.,strange|odd,normal,,
handy,adj,B1,communication|general,word,hand,,kullanışlı; işe yarar,useful and convenient,This app is really handy.,Bu uygulama gerçekten kullanışlı.,useful|practical,useless,,
overrated,adj,B2,communication|general,word,rate,,abartılan; hak ettiğinden çok övülen,rated more highly than deserved,That show is totally overrated.,O dizi tamamen abartılıyor.,,underrated,,underrated
underrated,adj,B2,communication|general,word,rate,,hak ettiği değeri görmeyen,not rated as highly as deserved,This actor is underrated.,Bu oyuncu hak ettiği değeri görmüyor.,,overrated,,overrated
hyped,adj,B2,communication|general,slang,hype,,abartılı beklenti yaratılan,heavily promoted and anticipated,The game was over-hyped.,Oyun fazla abartıldı.,,,,
spot on,idiom,B2,communication|general,idiom,spot,,tam isabet; çok doğru,exactly right,Your guess was spot on.,Tahminin tam isabetti.,accurate,off,,
no-brainer,slang,B2,communication|business,slang,brain,,düşünmeye değmeyecek kadar kolay karar,a very easy decision,At that price it's a no-brainer.,O fiyata düşünmeye bile gerek yok.,obvious choice,,,
rule of thumb,idiom,C1,communication|business,idiom,thumb,,genel kural; pratik ölçüt,a general practical principle,As a rule of thumb save ten percent.,Genel kural olarak yüzde on biriktir.,guideline,,,
back to square one,idiom,C1,communication|general,idiom,square,,başa dönmek; sıfırdan başlamak,back to the starting point,The plan failed so we're back to square one.,Plan tutmadı yani başa döndük.,start over,,,
on the same page,idiom,B2,communication|business,idiom,page,,aynı görüşte; mutabık,in agreement,Let's make sure we're on the same page.,Aynı görüşte olduğumuzdan emin olalım.,aligned,at odds,,
a long shot,idiom,C1,communication|general,idiom,shot,,zayıf ihtimal; uzak olasılık,something with little chance of success,It's a long shot but worth trying.,Zayıf bir ihtimal ama denemeye değer.,,sure thing,,
go viral,verb,B1,communication|general,phrase,viral,,viral olmak; hızla yayılmak,to spread rapidly online,The clip went viral in hours.,Klip saatler içinde viral oldu.,,,,
clickbaity,adj,C1,communication|general,slang,click,,tık tuzağı tarzı; aldatıcı başlık gibi,using misleading sensational style,The headline felt clickbaity.,Başlık tık tuzağı gibiydi.,,,,
binge eating,noun,C1,communication|general,phrase,binge,,tıkınırcasına yeme,eating large amounts uncontrollably,Stress can trigger binge eating.,Stres tıkınırcasına yemeyi tetikleyebilir.,,,,
catch feelings,slang,B2,communication|general,slang,feel,,(birine) takılmak; duygulanmaya başlamak,to start developing romantic feelings,He caught feelings after a few dates.,Birkaç buluşmadan sonra ona takıldı.,,,,
ghost,verb,B2,communication|general,slang,,,aniden iletişimi kesip ortadan kaybolmak,to suddenly stop all contact with someone,She ghosted him after one date.,Bir buluşmadan sonra onu görmezden gelip kayboldu.,,,,
red flag,idiom,B2,communication|general,idiom,flag,,tehlike işareti; uyarı niteliğinde belirti,a warning sign of a problem,His jealousy was a red flag.,Kıskançlığı bir tehlike işaretiydi.,warning sign,green flag,,
green flag,slang,B2,communication|general,slang,flag,,olumlu işaret; iyiye alamet özellik,a sign that something is positive,Kindness is a green flag.,Nezaket olumlu bir işarettir.,,red flag,,red flag
sugarcoat,verb,C1,communication|general,word,sugar,,yumuşatarak söylemek; tatlandırıp gerçeği örtmek,to make something seem better than it is,Don't sugarcoat the bad news.,Kötü haberi yumuşatarak söyleme.,gloss over,,,
nail it,idiom,B2,communication|general,slang,nail,,tam yapmak; mükemmel başarmak,to do something perfectly,She nailed the audition.,Seçmeyi mükemmel yaptı.,ace,blow it,,
blow it,idiom,B2,communication|general,slang,blow,,fırsatı kaçırmak; eline yüzüne bulaştırmak,to fail or waste a chance,Don't blow it this time.,Bu sefer fırsatı kaçırma.,mess up,nail it,,
chip in,verb,B2,communication|general,idiom,chip,,katkıda bulunmak; üzerine düşeni vermek,to contribute money or help,Everyone chipped in for the gift.,Herkes hediye için katkıda bulundu.,pitch in,,,
wrap one's head around,idiom,C1,communication|general,idiom,head,,kafasında oturtmak; kavramak,to manage to understand something hard,I can't wrap my head around this rule.,Bu kuralı bir türlü kavrayamıyorum.,grasp,,,
take it with a pinch of salt,idiom,C1,communication|general,idiom,salt,,ihtiyatla karşılamak; tam güvenmemek,to not fully believe something,Take online reviews with a pinch of salt.,İnternet yorumlarına ihtiyatla yaklaş.,be skeptical,,,
the bottom line,idiom,B2,communication|business,idiom,line,,sonuç olarak; en önemli nokta,the most important point,The bottom line is we need more time.,Sonuç olarak daha çok zamana ihtiyacımız var.,key point,,,
food for thought,idiom,C1,communication|general,idiom,food,,üzerinde düşünülecek şey,something worth thinking about,Her question gave me food for thought.,Sorusu bana düşünecek bir şey verdi.,,,,
a game changer,idiom,B2,communication|business,slang,game,,oyunu değiştiren şey,something that changes everything,This tool is a real game changer.,Bu araç gerçek bir oyun değiştirici.,,,,
walk on eggshells,idiom,C1,communication|general,idiom,egg,,çok dikkatli davranmak; tedirgin biçimde idare etmek,to be very careful not to upset someone,We walk on eggshells around the boss.,Patronun yanında çok dikkatli davranıyoruz.,tread carefully,,,
the elephant in the room,idiom,C1,communication|general,idiom,elephant,,herkesin görmezden geldiği büyük sorun,an obvious problem nobody mentions,Let's address the elephant in the room.,Şu görmezden gelinen sorunu konuşalım.,,,,
on cloud nine,idiom,B2,communication|general,idiom,cloud,,çok mutlu; bulutların üstünde,extremely happy,She was on cloud nine after the news.,Haberden sonra çok mutluydu.,overjoyed,down,,
down to earth,idiom,B2,communication|general,idiom,earth,,ayağı yere basan; mütevazı ve gerçekçi,practical and modest,He's famous but down to earth.,Ünlü ama ayağı yere basıyor.,grounded,arrogant,,
hit it off,idiom,B2,communication|general,idiom,hit,,hemen kaynaşmak; çabuk anlaşmak,to like each other immediately,We hit it off right away.,Hemen kaynaştık.,click,,,
catch someone off guard,idiom,C1,communication|general,idiom,guard,,gafil avlamak; hazırlıksız yakalamak,to surprise someone unprepared,The question caught me off guard.,Soru beni gafil avladı.,blindside,,,
go the extra mile,idiom,B2,communication|business,idiom,mile,,fazladan çaba göstermek,to make more effort than expected,Our staff go the extra mile.,Çalışanlarımız fazladan çaba gösterir.,overdeliver,,,
keep an eye on,idiom,B1,communication|general,idiom,eye,,göz kulak olmak; takip etmek,to watch carefully,Keep an eye on the kids.,Çocuklara göz kulak ol.,watch,ignore,,
get the hang of,idiom,B2,communication|general,idiom,hang,,el alışkanlığı kazanmak; ustalaşmak,to learn how to do something,You'll get the hang of it soon.,Yakında alışırsın.,master,,,
call the shots,idiom,C1,communication|business,idiom,shot,,kararları vermek; sözü geçmek,to be in control,The new manager calls the shots now.,Kararları artık yeni müdür veriyor.,be in charge,,,
cut corners,idiom,B2,communication|business,idiom,corner,,işi savsaklamak; kaliteden kısmak,to do something cheaply or carelessly,They cut corners on safety.,Güvenlikten kıstılar.,skimp,,,
in the long run,idiom,B2,communication|business,idiom,run,,uzun vadede,over a long period,It pays off in the long run.,Uzun vadede işe yarar.,eventually,,,
jump on the bandwagon,idiom,C1,communication|general,idiom,wagon,,modaya uymak; popüler akıma katılmak,to join a popular trend,Brands jumped on the bandwagon.,Markalar popüler akıma katıldı.,follow the trend,,,
