headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
overhead costs,noun,C1,business,phrase,,,genel giderler; düzenli işletme masrafları,regular running costs of a business,They cut overhead costs by going remote.,Uzaktan çalışarak genel giderleri kıstılar.,fixed expenses,,trim overhead costs,
scalable,adj,C1,business,word,scale,,ölçeklenebilir; büyümeye uygun,able to grow easily without losing performance,Their model is highly scalable.,Modelleri yüksek oranda ölçeklenebilir.,expandable,,scalable solution,
sustainable,adj,B2,business|economics,word,sustain,,sürdürülebilir; uzun vadede sürdürülebilir,able to continue over the long term,They aim for sustainable growth.,Sürdürülebilir büyüme hedefliyorlar.,viable|lasting,unsustainable,sustainable development,
viable,adj,C1,business,word,,,uygulanabilir; yaşama ve başarı şansı olan,capable of working successfully,The plan is financially viable.,Plan mali açıdan uygulanabilir.,feasible|workable,unviable,commercially viable,
incentive,noun,B2,business|economics,word,,,teşvik; motive eden ödül veya çıkar,something that motivates an action,Bonuses are a strong incentive.,Primler güçlü bir teşviktir.,motivation|reward,deterrent,financial incentive,
bonus,noun,A2,business,word,,,prim; maaş dışı ek ödeme,extra money given as a reward,She earned a year-end bonus.,Yıl sonu primi kazandı.,reward|perk,,performance bonus,
commission,noun,B2,business,word,,,komisyon; satış üzerinden alınan pay,a payment based on sales made,Salespeople work on commission.,Satışçılar komisyonla çalışır.,fee|cut,,sales commission,
overtime,noun,B1,business,word,,,fazla mesai; normal saat dışı çalışma,time worked beyond normal hours,He was paid for overtime.,Fazla mesaisi için ödeme aldı.,extra hours,,work overtime,
recruit,verb,B2,business,word,,,işe almak; yeni eleman bulmak,to find and hire new staff,They recruit graduates every spring.,Her bahar mezun alıyorlar.,hire|enlist,dismiss,recruit talent,
hire,verb,A2,business,word,,,işe almak; ücretle çalıştırmak,to employ someone for pay,We need to hire two engineers.,İki mühendis işe almamız gerek.,employ|recruit,fire,hire staff,
dismiss,verb,B2,business|communication,word,,,işten çıkarmak; görevine son vermek,to remove someone from a job,He was dismissed for misconduct.,Suistimal nedeniyle işten çıkarıldı.,fire|sack,hire,dismiss an employee,
resign,verb,B2,business,word,sign,,istifa etmek; görevden kendi isteğiyle ayrılmak,to leave a job voluntarily,She resigned after ten years.,On yıl sonra istifa etti.,quit|step down,,resign from a post,
promote,verb,B1,business|communication,word,,,terfi ettirmek; üst göreve yükseltmek,to raise someone to a higher position,They promoted her to manager.,Onu yöneticiliğe terfi ettirdiler.,elevate|upgrade,demote,promote staff,
demote,verb,C1,business,word,,,rütbe indirmek; alt göreve almak,to move someone to a lower position,He was demoted after the error.,Hatadan sonra rütbesi indirildi.,downgrade,promote,,promote
workforce,noun,B2,business|economics,word,,,işgücü; bir kurumdaki tüm çalışanlar,all the people who work for an organization,The factory has a large workforce.,Fabrikanın büyük bir işgücü var.,staff|personnel,,skilled workforce,
productivity,noun,B2,business|economics,word,product,,verimlilik; birim zamandaki üretim miktarı,the rate of output per unit of input,New tools boosted productivity.,Yeni araçlar verimliliği artırdı.,efficiency|output,,labor productivity,
efficiency,noun,B2,business|economics,word,,,verimlilik; az kaynakla çok iş yapma,getting good results with little waste,Automation improved efficiency.,Otomasyon verimliliği iyileştirdi.,productivity,waste,operational efficiency,
benchmark,noun,C1,business|economics,word,,,kıyaslama ölçütü; karşılaştırma standardı,a standard used for comparison,The index is the industry benchmark.,Endeks sektörün kıyaslama ölçütüdür.,standard|yardstick,,set a benchmark,
milestone,noun,B2,business|communication,word,,,kilometre taşı; önemli aşama,a significant stage in a project,Launching the app was a milestone.,Uygulamayı yayınlamak bir kilometre taşıydı.,landmark|stage,,key milestone,
deliverable,noun,C1,business,word,deliver,,teslim edilecek çıktı; sözü verilen sonuç,a tangible result to be produced,The report is the main deliverable.,Rapor temel teslim çıktısıdır.,output|result,,project deliverable,
scope,noun,B2,business|communication,word,,,kapsam; bir projenin sınırları,the extent of a project or task,The scope of the work expanded.,İşin kapsamı genişledi.,extent|range,,project scope|scope creep,
stakeholder management,noun,C1,business|communication,phrase,stake,,paydaş yönetimi; ilgili tarafları yönetme,handling the interests of involved parties,Good stakeholder management avoids conflict.,İyi paydaş yönetimi çatışmayı önler.,,,effective stakeholder management,
compliance,noun,C1,business,word,comply,,uyum; kurallara ve yasalara uygunluk,acting according to rules and laws,The bank passed the compliance check.,Banka uyum denetimini geçti.,conformity,violation,regulatory compliance,
audit,noun,B2,business|economics,word,,,denetim; hesapların resmi incelemesi,an official inspection of accounts,An external audit found no problems.,Dış denetim sorun bulamadı.,inspection|review,,annual audit,
liability insurance,noun,C1,business,phrase,,,sorumluluk sigortası; zarara karşı teminat,insurance against legal responsibility for harm,The firm carries liability insurance.,Firma sorumluluk sigortası taşır.,,,general liability insurance,
patent,noun,B2,business,word,,,patent; bir buluş için yasal hak,a legal right protecting an invention,They filed a patent for the design.,Tasarım için patent başvurusu yaptılar.,,,file a patent,
trademark,noun,B2,business|communication,word,,,marka tescili; tescilli ticari işaret,a registered sign identifying a brand,The logo is a registered trademark.,Logo tescilli bir markadır.,brand|logo,,protect a trademark,
franchise,noun,C1,business|economics,word,,,bayilik; marka kullanım hakkı satışı,a license to run a branch of a brand,She bought a coffee franchise.,Bir kahve bayiliği satın aldı.,,,fast-food franchise,
subsidiary,noun,C1,business|economics,word,,,bağlı ortaklık; ana şirkete bağlı firma,a company controlled by a larger one,The bank sold its foreign subsidiary.,Banka yurt dışı bağlı ortaklığını sattı.,branch|affiliate,parent company,wholly owned subsidiary,
headquarters,noun,B1,business,word,,,genel merkez; bir kurumun ana ofisi,the main office of an organization,Their headquarters moved downtown.,Genel merkezleri şehir merkezine taşındı.,head office|base,,corporate headquarters,
overheads,noun,C1,business,word,,,sabit giderler; düzenli işletme masrafları,fixed running costs of a business,Cutting overheads improved profit.,Sabit giderleri kısmak kârı artırdı.,fixed costs,,reduce overheads,
liquidate,verb,C2,business|economics,word,liquid,,nakde çevirmek; varlıkları satıp tasfiye etmek,to sell assets and close a business,They had to liquidate the company.,Şirketi tasfiye etmek zorunda kaldılar.,wind up|sell off,,liquidate assets,
insolvent,adj,C2,business|economics,word,solvent,,iflas durumunda; borçlarını ödeyemeyen,unable to pay debts when due,The firm became insolvent overnight.,Firma bir gecede borçlarını ödeyemez hale geldi.,bankrupt,solvent,technically insolvent,solvent
solvent,adj,C1,business|economics,word,,,ödeme gücü olan; borçlarını karşılayabilen,able to pay all debts,The company is now solvent again.,Şirket artık yeniden ödeme gücüne sahip.,,insolvent,remain solvent,insolvent
collateral,noun,C1,business|economics,word,,,teminat; borç karşılığı gösterilen varlık,an asset pledged to secure a loan,They used the house as collateral.,Evi teminat olarak gösterdiler.,security|guarantee,,loan collateral,
default,verb,C1,business|economics,word,,,temerrüde düşmek; borcu ödeyememek,to fail to repay a debt,The borrower defaulted on the loan.,Borçlu krediyi ödeyemedi.,,repay,default on a loan,
creditor,noun,C1,business|economics,word,credit,,alacaklı; borç veren taraf,a person or firm owed money,Creditors demanded immediate payment.,Alacaklılar derhal ödeme talep etti.,lender,debtor,secured creditor,debtor
debtor,noun,C1,business|economics,word,debt,,borçlu; borcu olan taraf,a person or firm that owes money,The debtor agreed to a payment plan.,Borçlu bir ödeme planını kabul etti.,borrower,creditor,,creditor
overdraft,noun,B2,business|economics,word,,,kredili mevduat; hesabın eksiye düşmesi,money borrowed by spending past zero,He went into overdraft this month.,Bu ay hesabı eksiye düştü.,,,bank overdraft,
mortgage,noun,B2,business|economics,word,,,ipotek; ev almak için alınan uzun vadeli kredi,a long-term loan to buy property,They took out a thirty-year mortgage.,Otuz yıllık bir ipotek aldılar.,home loan,,fixed-rate mortgage,
portfolio,noun,B2,business|economics,word,,,portföy; yatırım veya iş koleksiyonu,a collection of investments or works,She diversified her portfolio.,Portföyünü çeşitlendirdi.,collection,,investment portfolio,
diversify,verb,C1,business|economics,word,diverse,,çeşitlendirmek; riski yaymak için yaymak,to spread across different areas,Investors diversify to reduce risk.,Yatırımcılar riski azaltmak için çeşitlendirir.,spread|vary,concentrate,diversify holdings,
overvalue,verb,C1,business|economics,word,value,,aşırı değer biçmek; gerçekten fazla değerlemek,to estimate worth too highly,The stock was overvalued.,Hisse aşırı değerliydi.,overprice,undervalue,overvalued asset,undervalue
undervalue,verb,C1,business|economics,word,value,,düşük değer biçmek; gerçek değerinin altında görmek,to estimate worth too low,Talented staff are often undervalued.,Yetenekli çalışanlar çoğu zaman küçümsenir.,underrate,overvalue,undervalued company,overvalue
quota,noun,B2,business|economics,word,,,kota; belirlenen hedef veya sınır miktar,a fixed share or target amount,The team hit its sales quota.,Ekip satış kotasını tutturdu.,allocation|limit,,export quota,
tariff,noun,B2,business|economics,word,,,gümrük vergisi; ithalata konan vergi,a tax on imported goods,New tariffs raised the price of steel.,Yeni gümrük vergileri çeliğin fiyatını artırdı.,duty|levy,,import tariff,
overborrow,verb,C2,business|economics,word,borrow,,aşırı borçlanmak; ödeyebileceğinden fazla borç almak,to take on more debt than is wise,Firms that overborrow risk collapse.,Aşırı borçlanan firmalar çökme riski taşır.,,,,leverage
streamline,verb,C1,business,word,,,sadeleştirmek; süreci daha verimli hale getirmek,to make a process more efficient,They streamlined the approval steps.,Onay adımlarını sadeleştirdiler.,simplify|optimize,complicate,streamline operations,
optimize,verb,B2,business,word,,,optimize etmek; en iyi hale getirmek,to make something as effective as possible,We optimized the website for speed.,Web sitesini hız için optimize ettik.,improve|refine,,optimize performance,
delegate authority,verb,C1,business|communication,phrase,,,yetki devretmek; sorumluluğu paylaştırmak,to give responsibility to others,Leaders must delegate authority.,Liderler yetki devretmelidir.,entrust,centralize,,delegate
micromanage,verb,C1,business|communication,word,manage,,her ayrıntıya karışmak; aşırı kontrol etmek,to control every small detail of work,Nobody likes a boss who micromanages.,Kimse her şeye karışan bir patrondan hoşlanmaz.,overcontrol,delegate,,delegate
mentor,noun,B2,business|communication,word,,,mentor; deneyimli yol gösterici,an experienced adviser who guides others,Her mentor helped shape her career.,Mentoru kariyerini şekillendirmesine yardım etti.,adviser|coach,,senior mentor,
intern,noun,B1,business,word,,,stajyer; deneyim için çalışan kişi,a trainee gaining work experience,The intern impressed the whole team.,Stajyer tüm ekibi etkiledi.,trainee,,summer intern,
probation,noun,C1,business,word,,,deneme süresi; işe yeni başlayan için sınama dönemi,a trial period for a new employee,She passed her probation easily.,Deneme süresini kolayca geçti.,trial period,,probation period,
appraisal,noun,C1,business|communication,word,,,performans değerlendirmesi; çalışanı ölçme,a formal review of someone's work,His annual appraisal went well.,Yıllık değerlendirmesi iyi geçti.,evaluation|review,,performance appraisal,
quarter,noun,B1,business|economics,word,,,çeyrek; yılın üç aylık dönemi,a three-month period of the year,Profits rose in the third quarter.,Üçüncü çeyrekte kârlar arttı.,,,fourth quarter,
fiscal,adj,C1,business|economics,word,,,mali; devlet bütçesi ve vergiyle ilgili,relating to government money and taxes,The fiscal year ends in March.,Mali yıl mart ayında biter.,financial|monetary,,fiscal policy|fiscal year,
overprice,verb,C1,business|economics,word,price,,fazla fiyatlamak; aşırı yüksek fiyat koymak,to set a price too high,The product was overpriced for the market.,Ürün piyasaya göre fazla pahalıydı.,overcharge,underprice,,markup
break even,verb,B2,business|economics,phrase,,,başabaş yapmak; ne kâr ne zarar etmek,to make neither profit nor loss,The cafe broke even in its first year.,Kafe ilk yılında başabaş yaptı.,,,break-even point,
overdue,adj,B1,business,word,due,,gecikmiş; vadesi geçmiş,not paid or done by the due date,The invoice is two weeks overdue.,Fatura iki hafta gecikmiş durumda.,late|outstanding,,overdue payment,
outstanding,adj,B2,business|economics,word,,,ödenmemiş; henüz kapatılmamış borç,still owed and not yet paid,They cleared all outstanding debts.,Tüm ödenmemiş borçları kapattılar.,unpaid|due,settled,outstanding balance,
remittance,noun,C2,business|economics,word,,,havale; gönderilen ödeme,money sent as a payment,Workers send remittances home.,İşçiler memleketlerine havale gönderir.,payment|transfer,,bank remittance,
liquid assets,noun,C1,business|economics,phrase,,,likit varlıklar; kolay nakde çevrilen varlıklar,assets easily turned into cash,Cash and shares are liquid assets.,Nakit ve hisseler likit varlıklardır.,,,,
overstaffed,adj,C1,business,word,staff,,fazla personelli; gereğinden çok çalışanı olan,having more employees than needed,The department was overstaffed.,Departmanda gereğinden fazla personel vardı.,,understaffed,,
understaffed,adj,B2,business,word,staff,,personel yetersiz; çalışan sayısı az olan,not having enough employees,The clinic is badly understaffed.,Klinikte ciddi personel eksikliği var.,short-staffed,overstaffed,,overstaffed
workflow,noun,B2,business|communication,word,,,iş akışı; görevlerin sıralı düzeni,the sequence of steps in a task,A clear workflow prevents mistakes.,Net bir iş akışı hataları önler.,process,,automate workflow,
onboarding,noun,B2,business|communication,word,board,,işe alıştırma; yeni çalışanı sürece dahil etme,the process of integrating new staff,Good onboarding improves retention.,İyi bir işe alıştırma kalıcılığı artırır.,induction,offboarding,onboarding process,
retention,noun,C1,business,word,retain,,elde tutma; çalışan veya müşteriyi koruma,keeping employees or customers,High pay improves staff retention.,Yüksek ücret çalışan kalıcılığını artırır.,,turnover,customer retention,
churn,noun,C1,business|economics,word,,,müşteri kaybı oranı; ayrılan müşteri oranı,the rate at which customers leave,The app reduced its churn.,Uygulama müşteri kaybını azalttı.,attrition,retention,churn rate,
upsell,verb,C1,business,word,sell,,üst satış yapmak; daha pahalı ürüne yönlendirmek,to persuade a customer to buy more,Staff are trained to upsell.,Personel üst satış için eğitilir.,,,upsell to customers,
downsize,verb,C1,business|economics,word,size,,küçülmek; personel veya ölçeği azaltmak,to reduce staff or scale,The firm downsized during the crisis.,Firma kriz sırasında küçüldü.,cut back|shrink,expand,downsize operations,
restructure,verb,C1,business,word,structure,,yeniden yapılandırmak; örgütü baştan düzenlemek,to reorganize a company,They restructured the whole division.,Tüm bölümü yeniden yapılandırdılar.,reorganize,,debt restructure,
turnaround,noun,C1,business,word,turn,,toparlanma; kötü gidişten iyiye dönüş,a sharp recovery from decline,The new CEO led a turnaround.,Yeni CEO bir toparlanmaya öncülük etti.,recovery|rebound,downturn,turnaround plan,
overhaul,verb,C1,business,word,,,elden geçirmek; baştan aşağı yenilemek,to thoroughly revise or repair,They overhauled the payment system.,Ödeme sistemini baştan aşağı yenilediler.,revamp|revise,,complete overhaul,
