headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
divest,verb,C2,economics|business,word,,,elden çıkarmak; yatırımı satıp ayrılmak,to sell off an investment,The fund divested from coal.,Fon kömürden çıktı.,sell off,invest,divest assets,invest
yield,noun,C1,economics,word,,,getiri; yatırımdan elde edilen kazanç oranı,the return earned on an investment,Bond yields rose this week.,Tahvil getirileri bu hafta yükseldi.,return|profit,,high yield,
bond,noun,B2,economics,word,,,tahvil; faizle geri ödenen borç senedi,a loan to a company or government,Government bonds are seen as safe.,Devlet tahvilleri güvenli görülür.,security|debt,,issue bonds,
share,noun,B1,economics|business,word,,,hisse; şirket sermayesinden pay,a unit of ownership in a company,He sold his shares at a profit.,Hisselerini kârla sattı.,stock|equity,,buy shares,
stock,noun,B1,economics|business,word,,,hisse senedi; şirket payı,a part ownership of a company,Tech stocks rallied today.,Teknoloji hisseleri bugün yükseldi.,share|equity,,stock market,
commodity,noun,B2,economics,word,,,emtia; ham madde veya temel ürün,a basic raw material that is traded,Oil is a globally traded commodity.,Petrol küresel olarak ticareti yapılan bir emtiadır.,raw material|good,,commodity prices,
goods,noun,A2,economics,word,,,mallar; alınıp satılan ürünler,physical products that are bought and sold,Imported goods got more expensive.,İthal mallar pahalandı.,products|merchandise,services,consumer goods,
services,noun,A2,economics,word,,,hizmetler; satılan emek ve faaliyetler,work done for others rather than products,The economy shifted toward services.,Ekonomi hizmetlere doğru kaydı.,,goods,financial services,
trade,noun,A2,economics,word,,,ticaret; mal ve hizmet alışverişi,the buying and selling of goods,Free trade boosted exports.,Serbest ticaret ihracatı artırdı.,commerce|exchange,,international trade,
export,noun,B1,economics,word,,,ihracat; yurt dışına mal satışı,goods sold to another country,Car exports grew sharply.,Otomobil ihracatı keskin biçimde arttı.,,import,export market,import
import,noun,B1,economics,word,,,ithalat; yurt dışından mal alımı,goods bought from another country,Energy imports rose this winter.,Bu kış enerji ithalatı arttı.,,export,import duty,export
embargo,noun,C2,economics,word,,,ambargo; ticaret yasağı,an official ban on trade,An embargo was placed on exports.,İhracata ambargo konuldu.,ban|blockade,,trade embargo,
sanction,noun,C1,economics,word,,,yaptırım; ceza amaçlı kısıtlama,a penalty imposed to force compliance,New sanctions hit the oil sector.,Yeni yaptırımlar petrol sektörünü vurdu.,penalty|restriction,,economic sanctions,
monopoly,noun,B2,economics,word,,,tekel; tek satıcının piyasaya hakim olması,total control of a market by one seller,The firm held a near monopoly.,Firma neredeyse tekel konumundaydı.,,competition,natural monopoly,
competition,noun,A2,economics|business,word,compete,,rekabet; aynı pazarda yarış,rivalry between firms for customers,Competition kept prices low.,Rekabet fiyatları düşük tuttu.,rivalry,monopoly,fierce competition,
oligopoly,noun,C2,economics,word,,,oligopol; birkaç firmanın pazara hakim olması,market control by a few large firms,The airline market is an oligopoly.,Havayolu pazarı bir oligopoldür.,,,,monopoly
consumer,noun,A2,economics,word,,,tüketici; mal ve hizmet kullanan kişi,a person who buys goods for use,Consumers cut back on spending.,Tüketiciler harcamalarını kıstı.,buyer|customer,producer,consumer demand,
producer,noun,B1,economics,word,produce,,üretici; mal üreten kişi veya firma,a person or company that makes goods,Local producers gained market share.,Yerel üreticiler pazar payı kazandı.,maker|manufacturer,consumer,major producer,
manufacture,verb,B1,economics|business,word,,,imal etmek; mal üretmek,to make goods on a large scale,They manufacture parts abroad.,Parçaları yurt dışında üretiyorlar.,produce|make,,manufacture goods,
output,noun,B2,economics,word,,,çıktı; üretilen toplam miktar,the amount produced,Factory output rose last month.,Fabrika çıktısı geçen ay arttı.,production|yield,input,industrial output,
input,noun,B2,economics,word,,,girdi; üretime giren kaynak,a resource used in production,Labor is a key input.,Emek temel bir girdidir.,resource,output,production input,output
capital gains,noun,C1,economics,phrase,,,sermaye kazancı; varlık satışından elde edilen kâr,profit from selling an asset,He paid tax on his capital gains.,Sermaye kazancı üzerinden vergi ödedi.,,,capital gains tax,
taxation,noun,B2,economics,word,tax,,vergilendirme; vergi toplama sistemi,the system of imposing taxes,Fair taxation funds public services.,Adil vergilendirme kamu hizmetlerini finanse eder.,,,progressive taxation,
fiscal deficit,noun,C1,economics,phrase,,,bütçe açığı; harcamanın geliri aşması,government spending exceeding income,The fiscal deficit widened sharply.,Bütçe açığı keskin biçimde büyüdü.,,fiscal surplus,growing fiscal deficit,
infrastructure,noun,B2,economics,word,,,altyapı; yollar ve temel tesisler,basic physical systems of a country,The plan funds new infrastructure.,Plan yeni altyapıyı finanse ediyor.,facilities,,public infrastructure,
labor market,noun,B2,economics,phrase,,,işgücü piyasası; iş arz ve talebinin alanı,the supply and demand for workers,A tight labor market raised wages.,Daralan işgücü piyasası ücretleri yükseltti.,job market,,tight labor market,
wage,noun,A2,economics,word,,,ücret; çalışma karşılığı ödenen para,money paid for work,The minimum wage was raised.,Asgari ücret yükseltildi.,pay|salary,,minimum wage,
salary,noun,A2,economics|business,word,,,maaş; düzenli ödenen sabit ücret,fixed regular pay for a job,She negotiated a higher salary.,Daha yüksek bir maaş için pazarlık etti.,pay|wage,,annual salary,
cost of living,noun,B2,economics,phrase,,,yaşam maliyeti; temel giderlerin toplamı,the amount needed for basic expenses,The cost of living keeps rising.,Yaşam maliyeti artmaya devam ediyor.,,,rising cost of living,
purchasing manager,noun,C1,economics|business,phrase,,,satın alma müdürü; tedariği yöneten kişi,a person who manages buying for a firm,The purchasing manager cut supply costs.,Satın alma müdürü tedarik maliyetlerini düşürdü.,,,,
speculation,noun,C1,economics,word,,,spekülasyon; riskli kazanç amaçlı alım satım,risky trading to profit from price moves,Speculation drove up the price.,Spekülasyon fiyatı yukarı itti.,gambling|betting,,market speculation,
hedge,verb,C1,economics,word,,,riskten korunmak; zarara karşı önlem almak,to protect against possible loss,They hedge against currency risk.,Kur riskine karşı korunuyorlar.,protect|offset,,hedge a position,
arbitrage,noun,C2,economics,word,,,arbitraj; fiyat farkından kâr sağlama,profiting from price gaps between markets,Traders used arbitrage to profit.,Tüccarlar kâr için arbitraj kullandı.,,,currency arbitrage,
gross domestic product,noun,B2,economics,phrase,,,gayri safi yurt içi hasıla; toplam üretim değeri,total value of goods and services produced,Gross domestic product grew modestly.,Gayri safi yurt içi hasıla ölçülü büyüdü.,,,,
per capita,adj,C1,economics,word,,,kişi başına; nüfusa bölünmüş,for each person on average,Per capita income rose steadily.,Kişi başına gelir istikrarlı biçimde arttı.,,,per capita spending,
fluctuate,verb,B2,economics,word,,,dalgalanmak; sürekli inip çıkmak,to rise and fall irregularly,Prices fluctuate with the season.,Fiyatlar mevsime göre dalgalanır.,vary|waver,stabilize,fluctuate wildly,
threshold,noun,C1,economics|business,word,,,eşik; aşılması gereken sınır değer,a level that must be reached,Income above the threshold is taxed.,Eşiğin üstündeki gelir vergilendirilir.,limit|boundary,,tax threshold,
liquidity crisis,noun,C2,economics,phrase,liquid,,likidite krizi; nakit bulamama durumu,a shortage of available cash,A liquidity crisis froze lending.,Bir likidite krizi kredi vermeyi dondurdu.,,,severe liquidity crisis,
bailout,noun,C1,economics,word,,,kurtarma paketi; batmakta olana mali destek,emergency financial rescue,The bank received a government bailout.,Banka devletten kurtarma desteği aldı.,rescue|aid,,bank bailout,
default risk,noun,C1,economics,phrase,,,temerrüt riski; borcun ödenmeme ihtimali,the chance a borrower fails to repay,Higher default risk raises interest.,Yüksek temerrüt riski faizi yükseltir.,,,credit default risk,
credit rating,noun,C1,economics,phrase,,,kredi notu; borç ödeme gücü değerlendirmesi,an assessment of ability to repay debt,The country's credit rating was cut.,Ülkenin kredi notu düşürüldü.,,,sovereign credit rating,
