headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
proactive,adj,B2,business|communication,word,,,proaktif; önceden harekete geçen,acting in advance of problems,A proactive team prevents issues.,Proaktif bir ekip sorunları önler.,forward-thinking,reactive,proactive approach,reactive
reactive,adj,C1,business|communication,word,,,tepkisel; ancak sorun çıkınca harekete geçen,responding only after problems occur,A reactive strategy wastes time.,Tepkisel bir strateji zaman kaybettirir.,,proactive,reactive response,proactive
resilient,adj,B2,communication|business,word,,,dirençli; zorluktan çabuk toparlanan,able to recover quickly from difficulty,A resilient team adapts fast.,Dirençli bir ekip hızla uyum sağlar.,tough|adaptable,fragile,resilient mindset,
adaptable,adj,B2,communication|business,word,adapt,,uyumlu; değişen koşullara ayak uyduran,able to adjust to new conditions,She is highly adaptable at work.,İşte çok uyumlu biri.,flexible|versatile,rigid,adaptable to change,
versatile,adj,B2,communication|business,word,,,çok yönlü; birçok işe yatkın,able to do many different things well,He is a versatile team member.,Çok yönlü bir ekip üyesi.,flexible|all-round,limited,versatile skill set,
meticulous,adj,C1,business|communication,word,,,titiz; ayrıntılara çok dikkat eden,very careful about detail,She is meticulous with figures.,Rakamlar konusunda çok titiz.,thorough|precise,careless,meticulous planning,
proficient,adj,B2,communication|business,word,,,yetkin; bir işte ustalaşmış,skilled and competent,He is proficient in Excel.,Excel konusunda yetkin.,skilled|adept,incompetent,proficient user,
competent,adj,B2,business|communication,word,,,ehil; işi yapabilecek yeterlikte,having enough skill to do something well,She is a competent negotiator.,Ehil bir müzakereci.,capable|able,incompetent,highly competent,
diligent,adj,B2,communication|business,word,,,çalışkan; özenli ve gayretli,careful and hardworking,A diligent worker meets deadlines.,Çalışkan bir kişi teslim tarihlerine yetişir.,hardworking|conscientious,lazy,diligent effort,
conscientious,adj,C1,communication|business,word,,,vicdanlı ve özenli; işini ciddiye alan,careful to do tasks well and right,He is conscientious about quality.,Kalite konusunda çok özenli.,careful|thorough,negligent,conscientious employee,
ambitious,adj,B1,business|communication,word,,,hırslı; yüksek hedefleri olan,having strong desire to succeed,She set ambitious targets.,İddialı hedefler belirledi.,driven|aspiring,unambitious,ambitious plan,
motivated,adj,B1,communication|business,word,motive,,motive; istekli ve gayretli,eager and driven to act,A motivated team works harder.,Motive bir ekip daha çok çalışır.,driven|eager,apathetic,highly motivated,
collaborative,adj,B2,communication|business,word,,,iş birlikçi; birlikte çalışmaya yatkın,working well together with others,They built a collaborative culture.,İş birlikçi bir kültür kurdular.,cooperative|joint,competitive,collaborative effort,
proactively,adv,C1,business|communication,word,,,proaktif biçimde; önceden harekete geçerek,in a way that anticipates problems,They proactively addressed risks.,Riskleri önceden ele aldılar.,,reactively,,proactive
seamless,adj,C1,business|communication,word,seam,,kusursuz; sorunsuz ve pürüzsüz,smooth and without problems,The migration was seamless.,Geçiş kusursuzdu.,smooth|flawless,disjointed,seamless experience,
robust,adj,B2,business|communication,word,,,sağlam; güçlü ve dayanıklı,strong and able to withstand stress,They built a robust system.,Sağlam bir sistem kurdular.,sturdy|strong,fragile,robust solution,
holistic,adj,C1,business|communication,word,,,bütüncül; her yönü kapsayan,considering the whole rather than parts,They took a holistic approach.,Bütüncül bir yaklaşım benimsediler.,comprehensive,piecemeal,holistic view,
pragmatic,adj,C1,communication|business,word,,,pragmatik; gerçekçi ve uygulamaya dönük,practical rather than idealistic,She offered a pragmatic solution.,Pragmatik bir çözüm sundu.,practical|realistic,idealistic,pragmatic approach,
prudent,adj,C1,economics|business,word,,,sağduyulu; tedbirli ve dikkatli,careful and sensible especially with money,Prudent saving protects you.,Sağduyulu tasarruf seni korur.,cautious|sensible,reckless,prudent decision,
lucrative,adj,C1,business|economics,word,,,kazançlı; yüksek kâr getiren,producing a lot of profit,It turned into a lucrative deal.,Kazançlı bir anlaşmaya dönüştü.,profitable|rewarding,unprofitable,lucrative market,
feasible,adj,B2,business|communication,word,,,uygulanabilir; yapılabilir,able to be done successfully,The timeline is not feasible.,Bu zaman çizelgesi uygulanabilir değil.,viable|workable,impractical,technically feasible,
